Spp,commonName,scientificName
1342,Common Shelduck,Tadorna tadorna
1790,Eurasian Scops Owl,Otus scops
2230,Northern Royal Albatross,Diomedea sanfordi
24,Grey Petrel,Procellaria cinerea
4148,Wandering Albatross,Diomedea exulans
1506,Tanzanian Red-billed Hornbill,Tockus ruahae
3656,Oustalet's  Sunbird,Cinnyris oustaleti
2450,Green-breasted Bushshrike,Malaconotus gladiator
2502,Mount Kupe Bushshrike,Chlorophoneus kupeensis
1518,Forest  Wood Hoopoe,Phoeniculus castaneiceps
2324,Grey-headed Batis,Batis orientalis
3466,Greater Hoopoe-Lark,Alaemon alaudipes
2676,White-crowned Wheatear,Oenanthe leucopyga
3442,Fulvous Babbler,Argya fulva
